code,name,city,country,timezone,city_code
ALT,Alenquer,Alenquer,BR,America/Santarem,ALT
ALU,Alula,Bereeda,SO,Africa/Mogadishu,ALU
ALW,Walla Walla Airport,Walla Walla East,US,America/Los_Angeles,ALW
ALX,Thomas C Russell Field,Alexander City,US,America/Chicago,ALX
ALY,El Nohza,,EG,Africa/Cairo,ALY
ALZ,Alitak SPB,,US,America/Anchorage,ALZ
AMA,Rick Husband Amarillo International Airport,,US,America/Chicago,AMA
AMB,Ambilobe,Ambilobe,MG,Indian/Antananarivo,AMB
AMC,Am Timan,Am Timan,TD,Africa/Ndjamena,AMC
AMD,Ahmedabad Airport,Naroda,IN,Asia/Kolkata,AMD
AME,Alto Molocue,,MZ,Africa/Maputo,AME
AMF,Ama,,PG,Pacific/Port_Moresby,AMF
AMG,Amboin,,PG,Pacific/Port_Moresby,AMG
AMH,Arba Mintch Airport,Arba Minch',ET,Africa/Addis_Ababa,AMH
AMI,Selaparang,Mataram,ID,Asia/Makassar,AMI
AMJ,Almenara,Almenara,BR,America/Sao_Paulo,AMJ
AMK,Animas Airpark,,US,America/Denver,DRO
AML,Puerto Armuellas,Puerto Armuelles,PA,America/Panama,AML
AMM,Queen Alia International Airport,Al Jizah,JO,Asia/Amman,AMM
AMN,Gratiot Community,Alma,US,America/Detroit,AMN
AMO,Mao,Mao,TD,Africa/Ndjamena,AMO
AMP,Ampanihy,Ampanihy,MG,Indian/Antananarivo,AMP
AMQ,Pattimura Airport,Amahusu,ID,Asia/Jayapura,AMQ
AMR,Arno,,MH,Pacific/Majuro,AMR
AMS,Amsterdam Airport Schiphol,Aalsmeer,NL,Europe/Amsterdam,AMS
AMT,Amata,,AU,Australia/Adelaide,AMT
AMU,Amanab,,PG,Pacific/Port_Moresby,AMU
AMV,Amderma,Vorgashor,RU,Europe/Moscow,AMV
AMW,Ames,Ames,US,America/Chicago,AMW
AMX,Ammaroo,,AU,Australia/Darwin,AMX
AMY,Ambatomainty,,MG,Indian/Antananarivo,AMY
AMZ,Ardmore,Red Hill,NZ,Pacific/Auckland,AMZ
ANA,John Wayne International,Anaheim,US,America/Los_Angeles,ANA
ANB,Anniston Metropolitan,Oxford,US,America/Chicago,ANB
ANC,Ted Stevens Anchorage International Airport,,US,America/Anchorage,ANC
AND,Anderson,Centerville,US,America/New_York,AND
ANE,Angers-Marce Airport,,FR,Europe/Paris,ANE
ANF,Cerro Moreno International Airport,Antofagasta,CL,America/Santiago,ANF
ANG,Brie-Champniers,Champniers,FR,Europe/Paris,ANG
ANH,Anuha Island Resort,,SB,Pacific/Guadalcanal,ANH
ANI,Aniak Airport,,US,America/Anchorage,ANI
ANJ,Zanaga,,CG,Africa/Brazzaville,ANJ
ANK,Etimesgut,Batikent,TR,Europe/Istanbul,ANK
ANL,Andulo,Camacupa,AO,Africa/Luanda,ANL
ANM,Antsirabato,Antalaha,MG,Indian/Antananarivo,ANM
ANN,Annette Island,,US,America/Metlakatla,ANN
ANO,Angoche,,MZ,Africa/Maputo,ANO
ANP,Lee,Annapolis,US,America/New_York,ANP
ANQ,Tri-State Steuben County,Angola,US,America/Indiana/Indianapolis,ANQ
ANR,Antwerp International Airport,Mortsel,BE,Europe/Brussels,ANR
ANS,Andahuaylas,San Jeronimo,PE,America/Lima,ANS
ANT,St Anton,Sankt Anton am Arlberg,AT,Europe/Vienna,ANT
ANU,V.C. Bird International Airport,Parham,AG,America/Antigua,ANU
ANV,Anvik Airport,,US,America/Anchorage,ANV
ANW,Ainsworth,Ainsworth,US,America/Chicago,ANW
ANX,Andenes Airport,Andenes,NO,Europe/Oslo,ANX
ANY,Anthony,Anthony,US,America/Chicago,ANY
ANZ,Angus Downs,,AU,Australia/Darwin,ANZ
AOA,Aroa,,PG,Pacific/Port_Moresby,AOA
AOB,Annanberg,,PG,Pacific/Port_Moresby,AOB
AOC,Altenburg Nobitz,Altenburg,DE,Europe/Berlin,AOC
AOD,Abou Deia,,TD,Africa/Ndjamena,AOD
AOE,Anadolu University,,TR,Europe/Istanbul,ESK
AOG,Anshan Teng'ao Airport,Anshan,CN,Asia/Shanghai,AOG
AOH,Allen County,Lima,US,America/New_York,AOH
AOI,Ancona Falconara Airport,Falconara Marittima,IT,Europe/Rome,AOI
AOJ,Aomori Airport,,JP,Asia/Tokyo,AOJ
AOK,Karpathos Airport,Karpathos,GR,Europe/Athens,AOK
AOL,Paso De Los Libres,Paso de los Libres,AR,America/Argentina/Cordoba,AOL
AOM,Adam Airport,,OM,Asia/Muscat,AOM
AON,Arona,,PG,Pacific/Port_Moresby,AON
AOO,Altoona Airport,Martinsburg,US,America/New_York,AOO
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Alianza Cristiana,PE,America/Lima,AOP
AOR,Sultan Abdul Halim Airport,Jitra,MY,Asia/Kuala_Lumpur,AOR
AOS,Amook,,US,America/Anchorage,AOS
